question,student_answer,correct_answer,is_correct
"If f(x) = 3x^2 + 2x - 5, what is the derivative of f(x)?",2,6x + 2,False
Solve for x: 2^x + 5^x = 30,3,3,True
What is the integral of (2x^2 + 3x - 1) dx?,2,(2/3)x^3 + (3/2)x^2 - x + C,False
"Find the equation of the circle with center (1, 2) and radius 4",32,(x - 1)^2 + (y - 2)^2 = 16,False
"If a = 2i + 3 and b = 4i - 2, what is a * b?",2,-14 + 14i,False
"Solve the system of equations: 2x + 3y = 7, x - 2y = -3",2,"x = 1, y = 2",False
Find the value of x: sin(x) = 1/2,2,π/6,False
What is the equation of the line with slope -2 and y-intercept 3?,2,y = -2x + 3,False
Find the roots of the quadratic equation x^2 + 4x + 4 = 0,3,x = -2,False
Solve for x: log2(x) = 3,1,8,False
